1644418158.000000, 1644418158.000000, 1644418158.000000
32.000000, 32.000000, 32.000000
-56,-11,32
-56,-11,32
-55,-11,32
-55,-11,32
-56,-12,32
-56,-12,32
-56,-12,32
-56,-11,31
-56,-11,31
-56,-11,32
-56,-11,32
-57,-11,32
-56,-11,33
-56,-12,32
-55,-11,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-12,32
-56,-12,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-12,32
-55,-12,32
-55,-12,32
-56,-11,32
-56,-12,32
-56,-11,32
-56,-11,32
-55,-12,32
-55,-12,32
-56,-11,32
-57,-10,33
-57,-11,33
-55,-11,33
-54,-11,32
-54,-11,32
-56,-11,32
-57,-11,32
-57,-11,32
-55,-11,32
-55,-11,32
-55,-11,32
-56,-11,32
-56,-11,33
-56,-12,32
-56,-12,32
-55,-12,32
-55,-12,31
-56,-12,32
-56,-12,32
-56,-11,32
-56,-10,33
-56,-11,34
-55,-12,33
-54,-12,33
-55,-12,32
-55,-12,31
-56,-12,31
-57,-12,31
-57,-12,31
-57,-12,31
-56,-11,32
-56,-11,32
-56,-11,32
-55,-12,32
-55,-11,32
-55,-12,32
-56,-12,32
-56,-12,31
-56,-11,32
-56,-12,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,33
-56,-11,33
-56,-11,32
-56,-11,32
-56,-11,32
-56,-11,31
-56,-11,31
-56,-12,32
-56,-12,32
-56,-12,32
-56,-12,32
-56,-12,31
-56,-12,31
-56,-12,32
-55,-12,32
-55,-12,32
-55,-12,32
-56,-11,32
-57,-12,32
-56,-12,32
-56,-12,32
-56,-12,31
-55,-12,31
-56,-12,31
-56,-12,32
-56,-12,32
-56,-11,32
-56,-11,32
-55,-11,32
-55,-11,32
-56,-11,32
-56,-12,32
-56,-12,31
-56,-12,31
-57,-12,31
-56,-12,31
-56,-12,32
-56,-12,32
-57,-11,33
-55,-12,33
-55,-12,33
-55,-11,33
-55,-11,33
-56,-11,32
-55,-11,32
-56,-11,32
-56,-12,31
-56,-12,32
-56,-12,32
-55,-11,33
-56,-11,34
-57,-11,34
-56,-12,33
-54,-12,32
-55,-11,31
-55,-10,29
-55,-9,30
-55,-10,31
-55,-12,32
-56,-12,33
-56,-12,34
-56,-12,35
-56,-12,35
-56,-11,34
-56,-10,33
-55,-11,33
-55,-11,32
-55,-11,32
-55,-11,32
-54,-12,31
-54,-12,32
-55,-12,32
-55,-11,33
-56,-10,34
-57,-9,35
-56,-8,35
-55,-9,35
-53,-10,34
-53,-10,34
-53,-10,33
-54,-10,33
-55,-10,33
-56,-11,33
-57,-10,33
-57,-10,34
-57,-9,35
-57,-9,35
-57,-9,36
-56,-7,40
-55,-6,41
-51,-7,43
-42,-8,43
-41,-8,41
-43,-10,43
-42,-12,44
-43,-12,41
-48,-12,36
-46,-9,28
-44,-9,23
-44,-9,20
-56,-12,30
-64,-14,34
-85,-17,59
-92,-25,67
-13,4,34
-32,-1,31
-44,1,44
-47,6,63
-43,2,47
-45,1,52
-41,-3,59
-40,-3,46
-40,-3,46
-40,1,49
-42,3,50
-41,13,48
-48,25,54
-50,24,57
-43,14,59
-33,1,51
-31,-7,47
-36,-10,42
-41,-15,48
-46,-16,52
-50,-13,54
-46,-7,52
-46,2,51
-47,7,54
-48,9,56
-45,0,50
-39,-8,54
-37,-8,52
-41,-6,45
-48,-1,37
-48,0,33
-47,1,33
-44,4,36
-42,4,35
-46,4,36
-46,2,40
-51,-1,47
-62,2,60
-58,5,64
-51,-2,45
-44,-10,38
-45,-9,39
-52,-9,37
-51,-9,39
-52,-8,41
-51,-10,40
-49,-12,35
-67,-7,12
-73,-7,0
-66,-6,-8
-77,-3,-27
-60,-2,-16
-60,-1,-12
-44,-2,36
-74,-4,92
-68,-9,79
-68,-13,30
-67,-16,4
-63,2,-21
-66,0,-31
-67,-5,-21
-55,-6,-3
-55,-13,-6
-64,-16,3
-71,-17,38
-53,-3,35
-57,-2,28
-66,-9,19
-65,-14,13
-60,-13,9
-71,-9,2
-72,-9,6
-69,-3,27
-65,-2,39
-58,-5,38
-46,-11,39
-26,-8,45
-33,-8,45
-25,-14,53
-42,-10,53
-50,-11,50
-57,-13,44
-48,-12,43
-58,-4,28
-49,-9,24
-51,-10,23
-59,-9,25
-54,-9,36
-50,-9,37
-60,-3,26
-80,1,37
-78,1,48
-82,1,55
-84,0,46
-84,-4,42
-65,-16,33
-58,-17,26
-47,-21,22
-42,-27,6
-38,-29,5
-37,-30,2
-40,-32,2
-41,-33,3
-39,-37,1
-39,-42,0
-34,-41,5
-43,-41,1
-46,-44,-4
