,timestamps,emotions
270,1649253958,3
271,1649253988,3
272,1649254018,3
273,1649254048,3
274,1649254078,3
275,1649254108,3
276,1649254138,3
277,1649254168,4
278,1649254198,4
279,1649254228,4
280,1649254258,4
281,1649254288,4
282,1649254318,4
283,1649254348,4
284,1649254378,4
285,1649254408,4
286,1649254438,4
287,1649254468,4
288,1649254498,4
289,1649254528,4
290,1649254558,4
291,1649254588,4
292,1649254618,4
293,1649254648,4
294,1649254678,4
295,1649254708,4
296,1649254738,4
297,1649254768,4
298,1649254798,4
299,1649254828,4
300,1649254858,4
301,1649254888,4
302,1649254918,4
303,1649254948,4
304,1649254978,4
305,1649255008,4
306,1649255038,4
307,1649255068,4
308,1649255098,4
309,1649255128,4
310,1649255158,4
311,1649255188,4
312,1649255218,4
313,1649255248,4
314,1649255278,4
315,1649255308,4
316,1649255338,4
317,1649255368,4
318,1649255398,4
319,1649255428,4
320,1649255458,4
321,1649255488,4
322,1649255518,4
323,1649255548,4
324,1649255578,4
325,1649255608,4
326,1649255638,4
327,1649255668,4
328,1649255698,4
329,1649255728,4
330,1649255758,4
331,1649255788,4
332,1649255818,4
333,1649255848,4
334,1649255878,4
335,1649255908,4
336,1649255938,4
337,1649255968,4
338,1649255998,4
339,1649256028,4
340,1649256058,4
341,1649256088,4
342,1649256118,4
343,1649256148,4
344,1649256178,4
345,1649256208,2
346,1649256238,2
347,1649256268,2
348,1649256298,2
349,1649256328,2
350,1649256358,2
351,1649256388,2
352,1649256418,2
353,1649256448,2
354,1649256478,2
355,1649256508,2
356,1649256538,2
357,1649256568,2
358,1649256598,2
359,1649256628,2
360,1649256658,2
361,1649256688,2
362,1649256718,2
363,1649256748,2
364,1649256778,2
365,1649256808,2
366,1649256838,2
367,1649256868,2
368,1649256898,2
369,1649256928,2
370,1649256958,2
371,1649256988,2
372,1649257018,2
373,1649257048,2
374,1649257078,2
375,1649257108,2
376,1649257138,2
377,1649257168,2
378,1649257198,2
379,1649257228,2
380,1649257258,2
381,1649257288,2
382,1649257318,2
383,1649257348,2
384,1649257378,2
385,1649257408,2
386,1649257438,2
387,1649257468,2
388,1649257498,2
389,1649257528,2
390,1649257558,2
391,1649257588,2
392,1649257618,2
393,1649257648,2
394,1649257678,2
395,1649257708,2
396,1649257738,2
397,1649257768,2
398,1649257798,2
399,1649257828,2
400,1649257858,2
401,1649257888,2
402,1649257918,2
403,1649257948,2
404,1649257978,2
405,1649258008,1
406,1649258038,1
407,1649258068,1
408,1649258098,1
409,1649258128,1
410,1649258158,1
411,1649258188,1
412,1649258218,1
413,1649258248,1
414,1649258278,1
415,1649258308,1
416,1649258338,1
417,1649258368,1
418,1649258398,1
419,1649258428,1
420,1649258458,1
421,1649258488,1
422,1649258518,1
423,1649258548,1
424,1649258578,1
425,1649258608,1
426,1649258638,1
427,1649258668,1
428,1649258698,1
429,1649258728,1
430,1649258758,1
431,1649258788,1
432,1649258818,1
433,1649258848,1
434,1649258878,1
435,1649258908,1
436,1649258938,1
437,1649258968,1
438,1649258998,1
439,1649259028,1
440,1649259058,1
441,1649259088,1
442,1649259118,1
443,1649259148,1
444,1649259178,1
445,1649259208,1
446,1649259238,1
447,1649259268,1
448,1649259298,1
449,1649259328,1
450,1649259358,1
451,1649259388,1
452,1649259418,1
453,1649259448,1
454,1649259478,1
455,1649259508,1
456,1649259538,1
457,1649259568,1
458,1649259598,1
459,1649259628,1
460,1649259658,1
461,1649259688,1
462,1649259718,1
463,1649259748,1
464,1649259778,1
465,1649259808,1
466,1649259838,1
467,1649259868,1
468,1649259898,1
469,1649259928,1
470,1649259958,1
471,1649259988,1
472,1649260018,1
473,1649260048,1
474,1649260078,1
475,1649260108,1
476,1649260138,1
477,1649260168,1
478,1649260198,1
479,1649260228,1
480,1649260258,1
481,1649260288,1
482,1649260318,1
483,1649260348,1
484,1649260378,1
485,1649260408,1
486,1649260438,1
487,1649260468,1
488,1649260498,1
489,1649260528,1
490,1649260558,1
491,1649260588,1
492,1649260618,1
493,1649260648,1
494,1649260678,1
495,1649260708,1
496,1649260738,1
497,1649260768,1
498,1649260798,1
499,1649260828,1
500,1649260858,1
501,1649260888,4
502,1649260918,4
503,1649260948,4
504,1649260978,4
505,1649261008,4
506,1649261038,4
507,1649261068,4
508,1649261098,4
509,1649261128,4
510,1649261158,4
511,1649261188,4
512,1649261218,4
513,1649261248,4
514,1649261278,4
515,1649261308,4
516,1649261338,4
517,1649261368,4
518,1649261398,4
519,1649261428,4
520,1649261458,4
521,1649261488,4
522,1649261518,4
523,1649261548,4
524,1649261578,4
525,1649261608,4
526,1649261638,4
527,1649261668,4
528,1649261698,4
529,1649261728,4
530,1649261758,4
531,1649261788,4
532,1649261818,4
533,1649261848,4
534,1649261878,4
535,1649261908,4
536,1649261938,4
537,1649261968,4
538,1649261998,4
539,1649262028,4
540,1649262058,4
541,1649262088,4
542,1649262118,4
543,1649262148,4
544,1649262178,4
545,1649262208,4
546,1649262238,4
547,1649262268,4
548,1649262298,4
549,1649262328,4
550,1649262358,4
551,1649262388,4
552,1649262418,4
553,1649262448,4
554,1649262478,4
555,1649262508,4
556,1649262538,4
557,1649262568,4
558,1649262598,4
559,1649262628,4
560,1649262658,4
561,1649262688,4
562,1649262718,4
563,1649262748,4
564,1649262778,4
565,1649262808,4
566,1649262838,4
567,1649262868,4
568,1649262898,4
569,1649262928,4
570,1649262958,4
571,1649262988,4
572,1649263018,2
573,1649263048,2
574,1649263078,2
575,1649263108,2
576,1649263138,2
577,1649263168,2
578,1649263198,2
579,1649263228,2
580,1649263258,2
581,1649263288,2
582,1649263318,2
583,1649263348,2
584,1649263378,2
585,1649263408,2
586,1649263438,2
587,1649263468,2
588,1649263498,2
589,1649263528,2
590,1649263558,2
591,1649263588,2
592,1649263618,2
593,1649263648,2
594,1649263678,2
595,1649263708,2
596,1649263738,2
597,1649263768,2
598,1649263798,2
599,1649263828,2
600,1649263858,2
601,1649263888,2
602,1649263918,2
603,1649263948,2
604,1649263978,2
605,1649264008,2
606,1649264038,2
607,1649264068,2
608,1649264098,2
609,1649264128,3
610,1649264158,3
611,1649264188,3
612,1649264218,3
613,1649264248,3
614,1649264278,3
615,1649264308,3
616,1649264338,3
617,1649264368,3
618,1649264398,3
619,1649264428,3
620,1649264458,3
621,1649264488,3
622,1649264518,3
623,1649264548,3
624,1649264578,3
625,1649264608,3
626,1649264638,3
627,1649264668,3
628,1649264698,3
629,1649264728,3
630,1649264758,3
631,1649264788,3
632,1649264818,3
633,1649264848,3
634,1649264878,3
635,1649264908,3
636,1649264938,3
637,1649264968,3
638,1649264998,3
639,1649265028,3
640,1649265058,3
641,1649265088,3
642,1649265118,3
643,1649265148,3
644,1649265178,3
645,1649265208,3
646,1649265238,3
647,1649265268,3
648,1649265298,3
649,1649265328,3
650,1649265358,3
651,1649265388,3
652,1649265418,3
653,1649265448,3
654,1649265478,3
655,1649265508,3
656,1649265538,3
657,1649265568,3
658,1649265598,3
659,1649265628,3
660,1649265658,3
661,1649265688,3
662,1649265718,3
663,1649265748,3
664,1649265778,3
665,1649265808,3
666,1649265838,3
667,1649265868,3
668,1649265898,3
669,1649265928,3
670,1649265958,3
671,1649265988,3
672,1649266018,3
673,1649266048,3
674,1649266078,3
675,1649266108,3
676,1649266138,3
677,1649266168,3
678,1649266198,3
679,1649266228,3
680,1649266258,3
681,1649266288,3
682,1649266318,3
683,1649266348,3
684,1649266378,3
685,1649266408,3
686,1649266438,3
687,1649266468,3
688,1649266498,3
689,1649266528,3
690,1649266558,3
691,1649266588,3
692,1649266618,3
693,1649266648,3
694,1649266678,3
695,1649266708,3
696,1649266738,3
697,1649266768,3
698,1649266798,3
699,1649266828,3
700,1649266858,3
701,1649266888,3
702,1649266918,1
703,1649266948,1
704,1649266978,1
705,1649267008,1
706,1649267038,1
707,1649267068,1
708,1649267098,1
709,1649267128,1
710,1649267158,1
711,1649267188,1
712,1649267218,1
713,1649267248,1
714,1649267278,1
715,1649267308,1
716,1649267338,1
717,1649267368,1
718,1649267398,1
719,1649267428,1
720,1649267458,1
721,1649267488,1
722,1649267518,1
723,1649267548,1
724,1649267578,1
725,1649267608,1
726,1649267638,1
727,1649267668,1
728,1649267698,1
729,1649267728,1
730,1649267758,1
731,1649267788,1
732,1649267818,1
733,1649267848,1
734,1649267878,1
735,1649267908,1
736,1649267938,1
737,1649267968,1
738,1649267998,1
739,1649268028,1
740,1649268058,1
741,1649268088,1
742,1649268118,1
743,1649268148,1
744,1649268178,1
745,1649268208,1
746,1649268238,1
747,1649268268,1
748,1649268298,1
749,1649268328,1
750,1649268358,1
751,1649268388,1
752,1649268418,1
753,1649268448,1
754,1649268478,1
755,1649268508,1
756,1649268538,1
757,1649268568,1
758,1649268598,1
759,1649268628,1
760,1649268658,1
761,1649268688,1
762,1649268718,1
763,1649268748,1
764,1649268778,2
765,1649268808,2
766,1649268838,2
767,1649268868,2
768,1649268898,2
769,1649268928,2
770,1649268958,2
771,1649268988,2
772,1649269018,2
773,1649269048,2
774,1649269078,2
775,1649269108,2
776,1649269138,2
777,1649269168,2
778,1649269198,2
779,1649269228,2
780,1649269258,2
781,1649269288,2
782,1649269318,2
783,1649269348,2
784,1649269378,2
785,1649269408,2
786,1649269438,2
787,1649269468,2
788,1649269498,2
789,1649269528,2
790,1649269558,2
791,1649269588,2
792,1649269618,2
793,1649269648,2
794,1649269678,2
795,1649269708,2
796,1649269738,2
797,1649269768,2
798,1649269798,2
799,1649269828,2
800,1649269858,2
801,1649269888,2
802,1649269918,2
803,1649269948,2
804,1649269978,2
805,1649270008,2
806,1649270038,2
807,1649270068,2
808,1649270098,2
809,1649270128,2
810,1649270158,2
811,1649270188,2
812,1649270218,2
813,1649270248,2
814,1649270278,2
815,1649270308,2
816,1649270338,2
817,1649270368,2
818,1649270398,2
819,1649270428,2
820,1649270458,2
821,1649270488,2
822,1649270518,2
823,1649270548,2
824,1649270578,2
825,1649270608,2
826,1649270638,2
827,1649270668,2
828,1649270698,2
829,1649270728,2
830,1649270758,2
831,1649270788,2
832,1649270818,3
833,1649270848,3
834,1649270878,3
835,1649270908,3
836,1649270938,3
837,1649270968,3
838,1649270998,3
839,1649271028,3
840,1649271058,3
841,1649271088,3
842,1649271118,3
843,1649271148,3
844,1649271178,3
845,1649271208,3
846,1649271238,3
847,1649271268,3
848,1649271298,3
849,1649271328,3
850,1649271358,3
851,1649271388,3
852,1649271418,3
853,1649271448,3
854,1649271478,3
855,1649271508,3
856,1649271538,3
857,1649271568,3
858,1649271598,3
859,1649271628,3
860,1649271658,3
861,1649271688,3
862,1649271718,3
863,1649271748,3
864,1649271778,3
865,1649271808,3
866,1649271838,3
867,1649271868,3
868,1649271898,3
869,1649271928,3
870,1649271958,3
871,1649271988,3
872,1649272018,3
873,1649272048,3
874,1649272078,3
875,1649272108,3
876,1649272138,3
877,1649272168,3
878,1649272198,3
879,1649272228,3
880,1649272258,3
881,1649272288,3
882,1649272318,3
883,1649272348,3
884,1649272378,3
885,1649272408,3
886,1649272438,3
887,1649272468,3
888,1649272498,3
889,1649272528,3
890,1649272558,3
891,1649272588,3
892,1649272618,3
893,1649272648,3
894,1649272678,3
895,1649272708,3
896,1649272738,3
897,1649272768,3
898,1649272798,3
899,1649272828,3
900,1649272858,3
901,1649272888,3
902,1649272918,3
903,1649272948,3
904,1649272978,3
905,1649273008,3
906,1649273038,3
907,1649273068,3
908,1649273098,3
909,1649273128,3
910,1649273158,3
911,1649273188,3
912,1649273218,3
913,1649273248,3
914,1649273278,3
915,1649273308,3
916,1649273338,3
917,1649273368,3
918,1649273398,3
919,1649273428,3
920,1649273458,3
921,1649273488,3
922,1649273518,3
923,1649273548,3
924,1649273578,3
925,1649273608,3
926,1649273638,3
927,1649273668,3
928,1649273698,3
929,1649273728,3
930,1649273758,3
931,1649273788,3
932,1649273818,3
933,1649273848,3
934,1649273878,3
935,1649273908,3
936,1649273938,3
937,1649273968,3
938,1649273998,3
939,1649274028,3
940,1649274058,3
941,1649274088,3
942,1649274118,3
943,1649274148,3
944,1649274178,3
945,1649274208,3
946,1649274238,3
947,1649274268,3
948,1649274298,3
949,1649274328,3
950,1649274358,3
951,1649274388,3
952,1649274418,3
953,1649274448,3
954,1649274478,3
955,1649274508,3
956,1649274538,3
957,1649274568,3
958,1649274598,3
959,1649274628,3
960,1649274658,3
961,1649274688,3
962,1649274718,3
963,1649274748,3
964,1649274778,3
965,1649274808,3
966,1649274838,3
967,1649274868,3
968,1649274898,3
969,1649274928,3
970,1649274958,3
971,1649274988,3
972,1649275018,3
973,1649275048,3
974,1649275078,3
975,1649275108,3
976,1649275138,3
977,1649275168,3
978,1649275198,3
979,1649275228,3
980,1649275258,3
981,1649275288,3
982,1649275318,3
983,1649275348,3
984,1649275378,3
985,1649275408,3
986,1649275438,3
987,1649275468,3
988,1649275498,3
989,1649275528,3
990,1649275558,3
991,1649275588,3
992,1649275618,3
993,1649275648,3
994,1649275678,3
995,1649275708,3
996,1649275738,3
997,1649275768,3
998,1649275798,3
999,1649275828,3
1000,1649275858,3
1001,1649275888,3
1002,1649275918,3
1003,1649275948,3
1004,1649275978,3
1005,1649276008,3
1006,1649276038,4
1007,1649276068,4
1008,1649276098,4
1009,1649276128,4
1010,1649276158,4
1011,1649276188,4
1012,1649276218,4
1013,1649276248,4
1014,1649276278,4
1015,1649276308,4
1016,1649276338,2
1017,1649276368,2
1018,1649276398,2
1019,1649276428,2
1020,1649276458,2
1021,1649276488,2
1022,1649276518,2
1023,1649276548,2
1024,1649276578,2
1025,1649276608,2
1026,1649276638,2
1027,1649276668,2
1028,1649276698,2
1029,1649276728,2
1030,1649276758,2
1031,1649276788,4
1032,1649276818,4
1033,1649276848,4
1034,1649276878,4
1035,1649276908,4
1036,1649276938,4
1037,1649276968,4
1038,1649276998,4
1039,1649277028,4
1040,1649277058,4
1041,1649277088,4
1042,1649277118,4
1043,1649277148,4
1044,1649277178,4
1045,1649277208,4
1046,1649277238,4
1047,1649277268,4
1048,1649277298,4
1049,1649277328,4
1050,1649277358,4
1051,1649277388,1
1052,1649277418,1
1053,1649277448,1
1054,1649277478,1
1055,1649277508,1
1056,1649277538,1
1057,1649277568,1
1058,1649277598,1
1059,1649277628,1
1060,1649277658,1
1061,1649277688,1
1062,1649277718,1
1063,1649277748,1
1064,1649277778,1
1065,1649277808,1
1066,1649277838,1
1067,1649277868,1
1068,1649277898,1
1069,1649277928,1
1070,1649277958,1
1071,1649277988,2
1072,1649278018,2
1073,1649278048,2
1074,1649278078,2
1075,1649278108,2
1076,1649278138,2
1077,1649278168,2
1078,1649278198,2
1079,1649278228,2
1080,1649278258,2
1081,1649278288,2
1082,1649278318,2
1083,1649278348,2
1084,1649278378,2
1085,1649278408,2
1086,1649278438,2
1087,1649278468,2
1088,1649278498,2
1089,1649278528,2
1090,1649278558,2
1091,1649278588,2
1092,1649278618,2
1093,1649278648,2
1094,1649278678,2
1095,1649278708,2
1096,1649278738,2
1097,1649278768,2
1098,1649278798,2
1099,1649278828,2
1100,1649278858,2
1101,1649278888,2
1102,1649278918,2
1103,1649278948,2
1104,1649278978,2
1105,1649279008,2
1106,1649279038,2
1107,1649279068,2
1108,1649279098,2
1109,1649279128,2
1110,1649279158,2
1111,1649279188,2
1112,1649279218,2
1113,1649279248,2
1114,1649279278,2
1115,1649279308,2
1116,1649279338,2
1117,1649279368,2
1118,1649279398,2
1119,1649279428,2
1120,1649279458,2
1121,1649279488,2
1122,1649279518,2
1123,1649279548,2
1124,1649279578,2
1125,1649279608,2
1126,1649279638,2
1127,1649279668,2
1128,1649279698,2
1129,1649279728,2
1130,1649279758,3
1131,1649279788,3
1132,1649279818,3
1133,1649279848,3
1134,1649279878,3
1135,1649279908,3
1136,1649279938,3
1137,1649279968,3
1138,1649279998,3
1139,1649280028,3
1140,1649280058,3
1141,1649280088,3
1142,1649280118,3
1143,1649280148,3
1144,1649280178,3
1145,1649280208,3
1146,1649280238,3
1147,1649280268,3
1148,1649280298,3
1149,1649280328,3
1150,1649280358,3
1151,1649280388,3
1152,1649280418,3
1153,1649280448,3
1154,1649280478,3
1155,1649280508,3
1156,1649280538,3
1157,1649280568,3
1158,1649280598,3
1159,1649280628,3
1160,1649280658,3
1161,1649280688,3
1162,1649280718,3
1163,1649280748,3
1164,1649280778,3
1165,1649280808,3
1166,1649280838,3
1167,1649280868,3
1168,1649280898,3
1169,1649280928,3
1170,1649280958,3
1171,1649280988,3
1172,1649281018,3
1173,1649281048,3
1174,1649281078,3
1175,1649281108,3
1176,1649281138,3
1177,1649281168,3
1178,1649281198,3
1179,1649281228,3
1180,1649281258,3
1181,1649281288,3
1182,1649281318,3
1183,1649281348,3
1184,1649281378,3
1185,1649281408,3
1186,1649281438,3
1187,1649281468,3
1188,1649281498,3
1189,1649281528,3
1190,1649281558,3
1191,1649281588,3
1192,1649281618,3
1193,1649281648,3
1194,1649281678,3
1195,1649281708,3
1196,1649281738,3
1197,1649281768,3
1198,1649281798,3
1199,1649281828,3
1200,1649281858,3
1201,1649281888,3
1202,1649281918,3
1203,1649281948,3
1204,1649281978,3
1205,1649282008,3
1206,1649282038,3
1207,1649282068,3
1208,1649282098,3
1209,1649282128,3
1210,1649282158,3
1211,1649282188,3
1212,1649282218,3
1213,1649282248,3
1214,1649282278,3
1215,1649282308,3
1216,1649282338,3
1217,1649282368,3
1218,1649282398,3
1219,1649282428,3
1220,1649282458,3
1221,1649282488,3
1222,1649282518,3
1223,1649282548,3
1224,1649282578,3
1225,1649282608,3
1226,1649282638,3
1227,1649282668,3
1228,1649282698,3
1229,1649282728,3
1230,1649282758,3
1231,1649282788,3
1232,1649282818,3
1233,1649282848,3
1234,1649282878,3
1235,1649282908,3
1236,1649282938,3
1237,1649282968,3
1238,1649282998,3
1239,1649283028,3
1240,1649283058,3
1241,1649283088,3
1242,1649283118,3
1243,1649283148,3
1244,1649283178,3
1245,1649283208,3
1246,1649283238,3
1247,1649283268,3
1248,1649283298,3
1249,1649283328,3
1250,1649283358,3
1251,1649283388,3
1252,1649283418,3
1253,1649283448,3
1254,1649283478,3
1255,1649283508,3
1256,1649283538,3
1257,1649283568,3
1258,1649283598,3
1259,1649283628,3
1260,1649283658,3
1261,1649283688,3
1262,1649283718,3
1263,1649283748,3
1264,1649283778,3
1265,1649283808,3
1266,1649283838,3
1267,1649283868,3
1268,1649283898,3
1269,1649283928,3
1270,1649283958,3
1271,1649283988,3
1272,1649284018,3
1273,1649284048,3
1274,1649284078,3
1275,1649284108,3
1276,1649284138,3
1277,1649284168,3
1278,1649284198,3
1279,1649284228,3
1280,1649284258,3
1281,1649284288,3
1282,1649284318,3
1283,1649284348,3
1284,1649284378,3
1285,1649284408,3
1286,1649284438,3
1287,1649284468,3
1288,1649284498,3
1289,1649284528,3
1290,1649284558,3
1291,1649284588,3
1292,1649284618,3
1293,1649284648,3
1294,1649284678,3
1295,1649284708,3
1296,1649284738,3
1297,1649284768,3
1298,1649284798,3
1299,1649284828,3
1300,1649284858,3
1301,1649284888,3
1302,1649284918,3
1303,1649284948,3
1304,1649284978,3
1305,1649285008,3
1306,1649285038,3
1307,1649285068,3
1308,1649285098,3
1309,1649285128,3
1310,1649285158,3
1311,1649285188,3
1312,1649285218,3
1313,1649285248,3
1314,1649285278,3
1315,1649285308,3
1316,1649285338,3
1317,1649285368,3
1318,1649285398,3
1319,1649285428,3
1320,1649285458,3
1321,1649285488,3
1322,1649285518,3
1323,1649285548,3
1324,1649285578,3
1325,1649285608,3
1326,1649285638,3
1327,1649285668,3
1328,1649285698,3
1329,1649285728,3
1330,1649285758,3
1331,1649285788,3
1332,1649285818,3
1333,1649285848,3
1334,1649285878,3
1335,1649285908,3
1336,1649285938,3
1337,1649285968,3
1338,1649285998,3
1339,1649286028,3
1340,1649286058,3
1341,1649286088,3
1342,1649286118,3
1343,1649286148,3
1344,1649286178,3
1345,1649286208,3
1346,1649286238,3
1347,1649286268,3
1348,1649286298,3
1349,1649286328,3
1350,1649286358,3
1351,1649286388,3
1352,1649286418,3
1353,1649286448,3
1354,1649286478,4
1355,1649286508,4
1356,1649286538,4
1357,1649286568,4
1358,1649286598,4
1359,1649286628,4
1360,1649286658,4
1361,1649286688,4
1362,1649286718,4
1363,1649286748,4
1364,1649286778,4
1365,1649286808,4
1366,1649286838,4
1367,1649286868,4
1368,1649286898,4
1369,1649286928,4
1370,1649286958,4
1371,1649286988,4
1372,1649287018,4
1373,1649287048,4
1374,1649287078,4
1375,1649287108,4
1376,1649287138,4
1377,1649287168,4
1378,1649287198,4
1379,1649287228,4
1380,1649287258,4
1381,1649287288,4
1382,1649287318,4
1383,1649287348,4
1384,1649287378,4
1385,1649287408,4
1386,1649287438,4
1387,1649287468,4
1388,1649287498,4
1389,1649287528,4
1390,1649287558,4
1391,1649287588,4
1392,1649287618,1
1393,1649287648,1
1394,1649287678,1
1395,1649287708,1
1396,1649287738,1
1397,1649287768,1
1398,1649287798,1
1399,1649287828,1
1400,1649287858,1
1401,1649287888,1
1402,1649287918,1
1403,1649287948,1
1404,1649287978,1
1405,1649288008,1
1406,1649288038,1
1407,1649288068,1
1408,1649288098,1
1409,1649288128,1
1410,1649288158,1
1411,1649288188,1
1412,1649288218,1
1413,1649288248,1
1414,1649288278,1
1415,1649288308,2
1416,1649288338,2
1417,1649288368,2
1418,1649288398,2
1419,1649288428,2
1420,1649288458,2
1421,1649288488,2
1422,1649288518,2
1423,1649288548,2
1424,1649288578,2
1425,1649288608,2
1426,1649288638,2
1427,1649288668,2
1428,1649288698,2
1429,1649288728,2
1430,1649288758,2
1431,1649288788,2
1432,1649288818,2
1433,1649288848,2
1434,1649288878,2
1435,1649288908,2
1436,1649288938,2
1437,1649288968,2
1438,1649288998,2
1439,1649289028,2
1440,1649289058,2
1441,1649289088,2
1442,1649289118,2
1443,1649289148,2
1444,1649289178,2
1445,1649289208,2
1446,1649289238,2
1447,1649289268,2
1448,1649289298,2
1449,1649289328,2
1450,1649289358,2
1451,1649289388,2
1452,1649289418,2
1453,1649289448,2
1454,1649289478,2
1455,1649289508,2
1456,1649289538,2
1457,1649289568,2
1458,1649289598,2
1459,1649289628,2
1460,1649289658,2
1461,1649289688,2
1462,1649289718,2
1463,1649289748,2
1464,1649289778,2
1465,1649289808,2
1466,1649289838,2
1467,1649289868,2
1468,1649289898,2
1469,1649289928,2
1470,1649289958,2
1471,1649289988,2
1472,1649290018,2
1473,1649290048,2
1474,1649290078,2
1475,1649290108,2
1476,1649290138,2
1477,1649290168,2
1478,1649290198,2
1479,1649290228,2
1480,1649290258,2
1481,1649290288,2
1482,1649290318,2
1483,1649290348,2
1484,1649290378,2
1485,1649290408,2
1486,1649290438,2
1487,1649290468,2
1488,1649290498,2
1489,1649290528,2
1490,1649290558,2
1491,1649290588,2
1492,1649290618,2
1493,1649290648,2
1494,1649290678,2
1495,1649290708,2
1496,1649290738,2
