,TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
0,0.0,724198955028,0.0,0.0
1,0.00531,724199008037,0.0,0.0
2,0.01202,724199075595,0.0,0.0
3,0.01935,724199148359,0.0,0.0
4,0.02582,724199213165,0.0,0.0
5,0.03174,724199272686,0.0,0.0
6,0.03827,724199337667,0.0,0.0
7,0.04657,724199420504,0.0,0.0
8,0.05365,724199491325,0.0,0.0
9,0.06165,724199571516,0.0,0.0
10,0.07001,724199655268,0.0,0.0
11,0.07654,724199720193,0.0,0.0
12,0.08325,724199787701,0.0,0.0
13,0.08929,724199847697,0.0,0.0
14,0.09656,724199920857,0.0,0.0
15,0.10327,724199987583,0.14675,0.02895
16,0.11023,724200057380,0.29145,0.06814
17,0.1142,724200096774,0.28887,0.07604
18,0.12018,724200156825,0.29154,0.07177
19,0.12561,724200211269,0.29137,0.06932
20,0.13318,724200286562,0.29089,0.06849
21,0.14044,724200359317,0.29072,0.06894
22,0.14557,724200410502,0.29142,0.07028
23,0.1524,724200479152,0.29207,0.07104
24,0.15912,724200546218,0.29394,0.0691
25,0.16577,724200613008,0.29341,0.06722
26,0.1723,724200677955,0.29297,0.06569
27,0.17914,724200746560,0.2924,0.06472
28,0.18591,724200814394,0.2924,0.06533
29,0.1925,724200880126,0.29241,0.06585
30,0.19934,724200948765,0.29227,0.06666
31,0.2063,724201018088,0.29211,0.0673
32,0.21429,724201098115,0.29204,0.06777
33,0.21936,724201148924,0.29203,0.06741
34,0.22717,724201226582,0.29287,0.06681
35,0.23395,724201294436,0.29363,0.06628
36,0.24048,724201359770,0.29411,0.06606
37,0.24713,724201426071,0.29424,0.06608
38,0.2547,724201501947,0.29431,0.06617
39,0.25946,724201549440,0.2941,0.06632
40,0.2663,724201617841,0.29426,0.06604
41,0.27301,724201684880,0.29441,0.06578
42,0.27966,724201751959,0.29495,0.06518
43,0.28644,724201819275,0.29551,0.06538
44,0.29309,724201885815,0.29605,0.0655
45,0.29956,724201950916,0.2966,0.06445
46,0.30652,724202020021,0.29623,0.06439
47,0.31317,724202086534,0.29589,0.06434
48,0.32147,724202169509,0.29602,0.06503
49,0.32733,724202228574,0.29578,0.06553
50,0.33423,724202297581,0.29552,0.06606
51,0.34125,724202367832,0.29544,0.06561
52,0.34747,724202429783,0.29544,0.06588
53,0.35468,724202501533,0.29548,0.06608
54,0.3606,724202561148,0.29574,0.0657
55,0.37036,724202658943,0.29594,0.06621
56,0.37866,724202741614,0.29616,0.06664
57,0.38171,724202772481,0.29621,0.0666
58,0.38684,724202823172,0.29615,0.06644
