,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
118,0.79025,2269084055194,0.33882,0.00872
119,0.79674,2269084120071,0.33831,0.01049
120,0.80363,2269084188983,0.33778,0.01233
121,0.81079,2269084260532,0.33679,0.05816
122,0.81747,2269084327360,0.29997,0.27599
123,0.82538,2269084406419,0.28652,0.35226
124,0.83038,2269084456551,0.21891,0.46532
125,0.83856,2269084538252,0.21891,0.46532
126,0.84447,2269084597319,0.21891,0.46532
127,0.8515,2269084667610,0.0,0.0
128,0.85867,2269084739453,0.0,0.0
129,0.86485,2269084801199,0.0,0.0
130,0.87146,2269084867312,0.0,0.0
131,0.87808,2269084933427,0.0,0.0
132,0.8858,2269085010691,0.0,0.0
133,0.89066,2269085059142,0.0,0.0
134,0.89767,2269085129456,0.0,0.0
135,0.90396,2269085192277,0.0,0.0
136,0.91093,2269085261980,0.0,0.0
137,0.91731,2269085325748,0.08946,0.40058
138,0.92404,2269085393138,0.11928,0.53411
139,0.93141,2269085466731,0.17835,0.78848
140,0.93829,2269085535643,0.15032,0.81373
141,0.94531,2269085605739,0.14098,0.82215
142,0.95209,2269085673511,0.14705,0.8301
143,0.95833,2269085735905,0.15061,0.83906
144,0.9659,2269085811695,0.1536,0.84352
145,0.97133,2269085865983,0.15387,0.85012
146,0.98,2269085952552,0.15351,0.84674
147,0.98524,2269086005040,0.15416,0.84199
148,0.99098,2269086062420,0.15708,0.84682
149,0.99896,2269086142342,0.15708,0.84682
150,1.00621,2269086214764,0.15708,0.84682
151,1.01118,2269086264466,0.15708,0.84682
152,1.01817,2269086334348,0.15471,0.85331
153,1.02499,2269086402607,0.15471,0.85331
154,1.03218,2269086474431,0.15471,0.85331
155,1.0379,2269086531674,0.0,0.0
156,1.04475,2269086600213,0.0,0.0
157,1.05257,2269086678274,0.0,0.0
158,1.05952,2269086747885,0.0,0.0
159,1.06584,2269086811112,0.0,0.0
160,1.07307,2269086883454,0.0,0.0
161,1.07918,2269086944451,0.0,0.0
162,1.08714,2269087024149,0.0,0.0
163,1.09198,2269087072424,0.0,0.0
164,1.09914,2269087144037,0.0,0.0
165,1.10533,2269087206038,0.0,0.0
166,1.1116,2269087268664,0.0,0.0
167,1.11832,2269087335751,0.0,0.0
168,1.12598,2269087412385,0.0,0.0
169,1.13181,2269087470641,0.0,0.0
170,1.13847,2269087537446,0.0,0.0
171,1.14554,2269087608008,0.0,0.0
172,1.15222,2269087674934,0.0,0.0
173,1.1586,2269087738714,0.0,0.0
174,1.16602,2269087812834,0.0,0.0
175,1.17245,2269087877229,0.0,0.0
176,1.17905,2269087943123,0.0,0.0
177,1.18585,2269088011128,0.0,0.0
178,1.19293,2269088081952,0.0,0.0
179,1.19992,2269088151853,0.0,0.0
180,1.20587,2269088211381,0.0,0.0
181,1.21242,2269088276883,0.0,0.0
182,1.21996,2269088352196,0.0,0.0
183,1.22554,2269088408034,0.0,0.0
184,1.23225,2269088475274,0.0,0.0
185,1.23909,2269088543532,0.0,0.0
